POOL_ID	SRA_ID	SRA_DIR
SAMN25948860	SRR18028378	/gpfs/space/projects/genomic_references/OneK1K/sra/SRR18028378.sra
SAMN25948860	SRR18028379	/gpfs/space/projects/genomic_references/OneK1K/sra/SRR18028379.sra
SAMN25948860	SRR18028380	/gpfs/space/projects/genomic_references/OneK1K/sra/SRR18028380.sra
SAMN25948860	SRR18028381	/gpfs/space/projects/genomic_references/OneK1K/sra/SRR18028381.sra
SAMN25948860	SRR18028382	/gpfs/space/projects/genomic_references/OneK1K/sra/SRR18028382.sra
SAMN25948860	SRR18028383	/gpfs/space/projects/genomic_references/OneK1K/sra/SRR18028383.sra
SAMN25948860	SRR18028384	/gpfs/space/projects/genomic_references/OneK1K/sra/SRR18028384.sra
SAMN25948860	SRR18028385	/gpfs/space/projects/genomic_references/OneK1K/sra/SRR18028385.sra
SAMN25948860	SRR18028386	/gpfs/space/projects/genomic_references/OneK1K/sra/SRR18028386.sra
SAMN25948860	SRR18028387	/gpfs/space/projects/genomic_references/OneK1K/sra/SRR18028387.sra
SAMN25948860	SRR18028388	/gpfs/space/projects/genomic_references/OneK1K/sra/SRR18028388.sra
SAMN25948860	SRR18028389	/gpfs/space/projects/genomic_references/OneK1K/sra/SRR18028389.sra
SAMN25948860	SRR18028390	/gpfs/space/projects/genomic_references/OneK1K/sra/SRR18028390.sra
SAMN25948860	SRR18028391	/gpfs/space/projects/genomic_references/OneK1K/sra/SRR18028391.sra
SAMN25948860	SRR18028392	/gpfs/space/projects/genomic_references/OneK1K/sra/SRR18028392.sra
SAMN25948860	SRR18028393	/gpfs/space/projects/genomic_references/OneK1K/sra/SRR18028393.sra
SAMN25948860	SRR18028394	/gpfs/space/projects/genomic_references/OneK1K/sra/SRR18028394.sra
SAMN25948860	SRR18028395	/gpfs/space/projects/genomic_references/OneK1K/sra/SRR18028395.sra
SAMN25948860	SRR18028396	/gpfs/space/projects/genomic_references/OneK1K/sra/SRR18028396.sra
SAMN25948860	SRR18028397	/gpfs/space/projects/genomic_references/OneK1K/sra/SRR18028397.sra
SAMN25948861	SRR18028398	/gpfs/space/projects/genomic_references/OneK1K/sra/SRR18028398.sra
SAMN25948861	SRR18028399	/gpfs/space/projects/genomic_references/OneK1K/sra/SRR18028399.sra
SAMN25948861	SRR18028400	/gpfs/space/projects/genomic_references/OneK1K/sra/SRR18028400.sra
SAMN25948861	SRR18028401	/gpfs/space/projects/genomic_references/OneK1K/sra/SRR18028401.sra
SAMN25948861	SRR18028402	/gpfs/space/projects/genomic_references/OneK1K/sra/SRR18028402.sra
SAMN25948861	SRR18028403	/gpfs/space/projects/genomic_references/OneK1K/sra/SRR18028403.sra
